meetnet	meetfrequentie_doel	jaar	jaardoel	eenheid	cyclusdoel
Aardbeivlinder	3	2016	0	Locaties	NA
Aardbeivlinder	3	2017	4	Locaties	NA
Aardbeivlinder	3	2018	4	Locaties	NA
Aardbeivlinder	3	2019	4	Locaties	NA
Aardbeivlinder	3	2020	4	Locaties	NA
Aardbeivlinder	3	2021	4	Locaties	NA
Aardbeivlinder	3	2022	4	Locaties	NA
Aardbeivlinder	3	2023	4	Locaties	NA
Aardbeivlinder	3	2024	4	Locaties	NA
Algemene Broedvogelmonitoring (ABV)	3	2018	160	Locaties	NA
Algemene Broedvogelmonitoring (ABV)	3	2019	160	Locaties	NA
Algemene Broedvogelmonitoring (ABV)	3	2020	160	Locaties	NA
Algemene Broedvogelmonitoring (ABV)	3	2021	140	Locaties	NA
Algemene Broedvogelmonitoring (ABV)	3	2022	140	Locaties	NA
Algemene Broedvogelmonitoring (ABV)	3	2023	140	Locaties	NA
Algemene Broedvogelmonitoring (ABV)	3	2024	160	Locaties	NA
Argusvlinder	6	2016	10	Locaties	30
Argusvlinder	6	2017	6	Nieuwe locaties	30
Argusvlinder	6	2018	6	Nieuwe locaties	30
Argusvlinder	6	2019	6	Nieuwe locaties	30
Argusvlinder	6	2020	6	Nieuwe locaties	30
Argusvlinder	6	2021	6	Nieuwe locaties	30
Argusvlinder	6	2022	6	Nieuwe locaties	30
Argusvlinder	6	2023	6	Nieuwe locaties	30
Argusvlinder	6	2024	6	Nieuwe locaties	30
Beekrombout	3	2018	5	Locaties	NA
Beekrombout	3	2019	2	Locaties	NA
Beekrombout	3	2020	4	Locaties	NA
Beekrombout	3	2021	1	Locaties	NA
Beekrombout	3	2022	1	Locaties	NA
Beekrombout	2	2023	1	Locaties	NA
Beekrombout	2	2024	3	Locaties	NA
Boomkikker	3	2016	20	Locaties	60
Boomkikker	3	2017	12	Nieuwe locaties	60
Boomkikker	3	2018	12	Nieuwe locaties	60
Boomkikker	3	2019	12	Nieuwe locaties	60
Boomkikker	3	2020	12	Nieuwe locaties	60
Boomkikker	3	2021	12	Nieuwe locaties	60
Boomkikker	3	2022	12	Nieuwe locaties	60
Boomkikker	3	2023	12	Nieuwe locaties	60
Boomkikker	3	2024	12	Nieuwe locaties	60
Bosbeekjuffer	2	2018	6	Nieuwe locaties	30
Bosbeekjuffer	3	2019	6	Nieuwe locaties	30
Bosbeekjuffer	3	2020	6	Nieuwe locaties	30
Bosbeekjuffer	3	2021	6	Nieuwe locaties	30
Bosbeekjuffer	3	2022	6	Nieuwe locaties	30
Bosbeekjuffer	3	2023	6	Nieuwe locaties	30
Bosbeekjuffer	3	2024	6	Nieuwe locaties	30
Bruin dikkopje	6	2016	0	Locaties	NA
Bruin dikkopje	6	2017	3	Locaties	NA
Bruin dikkopje	6	2018	3	Locaties	NA
Bruin dikkopje	6	2019	4	Locaties	NA
Bruin dikkopje	6	2020	4	Locaties	NA
Bruin dikkopje	6	2021	4	Locaties	NA
Bruin dikkopje	6	2022	4	Locaties	NA
Bruin dikkopje	6	2023	4	Locaties	NA
Bruin dikkopje	6	2024	4	Locaties	NA
Bruine eikenpage	3	2018	7	Locaties	NA
Bruine eikenpage	3	2019	13	Locaties	NA
Bruine eikenpage	3	2020	12	Locaties	NA
Bruine eikenpage	3	2021	12	Locaties	NA
Bruine eikenpage	3	2022	12	Locaties	NA
Bruine eikenpage	3	2023	11	Locaties	NA
Bruine eikenpage	3	2024	11	Locaties	NA
Gentiaanblauwtje	1	2016	7	Locaties	NA
Gentiaanblauwtje	1	2017	7	Locaties	NA
Gentiaanblauwtje	1	2018	7	Locaties	NA
Gentiaanblauwtje	1	2019	13	Plots	NA
Gentiaanblauwtje	1	2020	13	Plots	NA
Gentiaanblauwtje	1	2021	13	Plots	NA
Gentiaanblauwtje	1	2022	13	Plots	NA
Gentiaanblauwtje	1	2023	13	Plots	NA
Gentiaanblauwtje	1	2024	13	Plots	NA
Gerande oeverspin	1	2017	10	Bezoeken	NA
Gerande oeverspin	1	2018	10	Bezoeken	NA
Gerande oeverspin	1	2019	10	Bezoeken	NA
Gerande oeverspin	1	2020	10	Bezoeken	NA
Gerande oeverspin	1	2021	10	Nieuwe locaties	NA
Gerande oeverspin	1	2022	10	Nieuwe locaties	NA
Gerande oeverspin	1	2023	10	Nieuwe locaties	NA
Gerande oeverspin	1	2024	1	Locaties	NA
Gevlekte witsnuitlibel	2	2016	15	Locaties	NA
Gevlekte witsnuitlibel	2	2017	20	Locaties	NA
Gevlekte witsnuitlibel	2	2018	20	Locaties	NA
Gevlekte witsnuitlibel	2	2019	20	Locaties	NA
Gevlekte witsnuitlibel	2	2020	20	Locaties	NA
Gevlekte witsnuitlibel	2	2021	20	Locaties	NA
Gevlekte witsnuitlibel	2	2022	20	Locaties	NA
Gevlekte witsnuitlibel	2	2023	20	Locaties	NA
Gevlekte witsnuitlibel	2	2024	20	Locaties	NA
Gewone Grootoorvleermuis	1	2021	3	Locaties	NA
Gewone Grootoorvleermuis	1	2022	3	Locaties	NA
